Segment,Country,Product, Discount Band ,Units Sold,Manufacturing Price,Sale Price,XXXGross Sales,Discounts,XXXSales,COGS,XXXProfit,Date,Month Number,Month,Year,Sales,Profit,Gross Sales
Small Business,United States of America, Velo , Medium ,1372, $120.00 , $300.00 ," $4,11,600.00 "," $28,812.00 "," $3,82,788.00 "," $3,43,000.00 "," $39,788.00 ",01-12-2014,12, December ,2014,$10347,$4347,$12347
Government,Germany, Velo , Medium ,588, $120.00 , $20.00 ," $11,760.00 ", $823.20 ," $10,936.80 "," $5,880.00 "," $5,056.80 ",01-12-2013,12, December ,2013,$10348,$4348,$12348
Channel Partners,Canada, VTT , Medium ,3244.5, $250.00 , $12.00 ," $38,934.00 "," $2,725.38 "," $36,208.62 "," $9,733.50 "," $26,475.12 ",01-01-2014,1, January ,2014,$10349,$4349,$12349
Small Business,France, VTT , Medium ,959, $250.00 , $300.00 ," $2,87,700.00 "," $20,139.00 "," $2,67,561.00 "," $2,39,750.00 "," $27,811.00 ",01-02-2014,2, February ,2014,$10350,$4350,$12350
Small Business,Mexico, VTT , Medium ,2747, $250.00 , $300.00 ," $8,24,100.00 "," $57,687.00 "," $7,66,413.00 "," $6,86,750.00 "," $79,663.00 ",01-02-2014,2, February ,2014,$10351,$4351,$12351
Enterprise,Canada, Amarilla , Medium ,1645, $260.00 , $125.00 ," $2,05,625.00 "," $14,393.75 "," $1,91,231.25 "," $1,97,400.00 "," $(6,168.75)",01-05-2014,5, May ,2014,$10352,$4352,$12352
Government,France, Amarilla , Medium ,2876, $260.00 , $350.00 ," $10,06,600.00 "," $70,462.00 "," $9,36,138.00 "," $7,47,760.00 "," $1,88,378.00 ",01-09-2014,9, September ,2014,$10353,$4353,$12353
Enterprise,Germany, Amarilla , Medium ,994, $260.00 , $125.00 ," $1,24,250.00 "," $8,697.50 "," $1,15,552.50 "," $1,19,280.00 "," $(3,727.50)",01-09-2013,9, September ,2013,$10354,$4354,$12354
Government,Canada, Amarilla , Medium ,1118, $260.00 , $20.00 ," $22,360.00 "," $1,565.20 "," $20,794.80 "," $11,180.00 "," $9,614.80 ",01-11-2014,11, November ,2014,$10355,$4355,$12355
Small Business,United States of America, Amarilla , Medium ,1372, $260.00 , $300.00 ," $4,11,600.00 "," $28,812.00 "," $3,82,788.00 "," $3,43,000.00 "," $39,788.00 ",01-12-2014,12, December ,2014,$10356,$4356,$12356
Government,Canada, Montana , Medium ,488, $5.00 , $7.00 ," $3,416.00 ", $273.28 ," $3,142.72 "," $2,440.00 ", $702.72 ,01-02-2014,2, February ,2014,$10357,$4357,$12357
Government,United States of America, Montana , Medium ,1282, $5.00 , $20.00 ," $25,640.00 "," $2,051.20 "," $23,588.80 "," $12,820.00 "," $10,768.80 ",01-06-2014,6, June ,2014,$10358,$4358,$12358
Government,Canada, Paseo , Medium ,257, $10.00 , $7.00 ," $1,799.00 ", $143.92 ," $1,655.08 "," $1,285.00 ", $370.08 ,01-05-2014,5, May ,2014,$10359,$4359,$12359
Government,United States of America, Amarilla , Medium ,1282, $260.00 , $20.00 ," $25,640.00 "," $2,051.20 "," $23,588.80 "," $12,820.00 "," $10,768.80 ",01-06-2014,6, June ,2014,$10360,$4360,$12360
Enterprise,Mexico, Carretera , Medium ,1540, $3.00 , $125.00 ," $1,92,500.00 "," $15,400.00 "," $1,77,100.00 "," $1,84,800.00 "," $(7,700.00)",01-08-2014,8, August ,2014,$10361,$4361,$12361
Midmarket,France, Carretera , Medium ,490, $3.00 , $15.00 ," $7,350.00 ", $588.00 ," $6,762.00 "," $4,900.00 "," $1,862.00 ",01-11-2014,11, November ,2014,$10362,$4362,$12362
Government,Mexico, Carretera , Medium ,1362, $3.00 , $350.00 ," $4,76,700.00 "," $38,136.00 "," $4,38,564.00 "," $3,54,120.00 "," $84,444.00 ",01-12-2014,12, December ,2014,$10363,$4363,$12363
Midmarket,France, Montana , Medium ,2501, $5.00 , $15.00 ," $37,515.00 "," $3,001.20 "," $34,513.80 "," $25,010.00 "," $9,503.80 ",01-03-2014,3, March ,2014,$10364,$4364,$12364
Government,Canada, Montana , Medium ,708, $5.00 , $20.00 ," $14,160.00 "," $1,132.80 "," $13,027.20 "," $7,080.00 "," $5,947.20 ",01-06-2014,6, June ,2014,$10365,$4365,$12365
Government,Germany, Montana , Medium ,645, $5.00 , $20.00 ," $12,900.00 "," $1,032.00 "," $11,868.00 "," $6,450.00 "," $5,418.00 ",01-07-2014,7, July ,2014,$10366,$4366,$12366
Small Business,France, Montana , Medium ,1562, $5.00 , $300.00 ," $4,68,600.00 "," $37,488.00 "," $4,31,112.00 "," $3,90,500.00 "," $40,612.00 ",01-08-2014,8, August ,2014,$10367,$4367,$12367
Small Business,Canada, Montana , Medium ,1283, $5.00 , $300.00 ," $3,84,900.00 "," $30,792.00 "," $3,54,108.00 "," $3,20,750.00 "," $33,358.00 ",01-09-2013,9, September ,2013,$10368,$4368,$12368
Midmarket,Germany, Montana , Medium ,711, $5.00 , $15.00 ," $10,665.00 ", $853.20 ," $9,811.80 "," $7,110.00 "," $2,701.80 ",01-12-2014,12, December ,2014,$10369,$4369,$12369
Enterprise,Mexico, Paseo , Medium ,1114, $10.00 , $125.00 ," $1,39,250.00 "," $11,140.00 "," $1,28,110.00 "," $1,33,680.00 "," $(5,570.00)",01-03-2014,3, March ,2014,$10370,$4370,$12370
Government,Germany, Paseo , Medium ,1259, $10.00 , $7.00 ," $8,813.00 ", $705.04 ," $8,107.96 "," $6,295.00 "," $1,812.96 ",01-04-2014,4, April ,2014,$10371,$4371,$12371
Government,Germany, Paseo , Medium ,1095, $10.00 , $7.00 ," $7,665.00 ", $613.20 ," $7,051.80 "," $5,475.00 "," $1,576.80 ",01-05-2014,5, May ,2014,$10372,$4372,$12372
Government,Germany, Paseo , Medium ,1366, $10.00 , $20.00 ," $27,320.00 "," $2,185.60 "," $25,134.40 "," $13,660.00 "," $11,474.40 ",01-06-2014,6, June ,2014,$10373,$4373,$12373
Small Business,Mexico, Paseo , Medium ,2460, $10.00 , $300.00 ," $7,38,000.00 "," $59,040.00 "," $6,78,960.00 "," $6,15,000.00 "," $63,960.00 ",01-06-2014,6, June ,2014,$10374,$4374,$12374
Government,United States of America, Paseo , Medium ,678, $10.00 , $7.00 ," $4,746.00 ", $379.68 ," $4,366.32 "," $3,390.00 ", $976.32 ,01-08-2014,8, August ,2014,$10375,$4375,$12375
Government,Germany, Paseo , Medium ,1598, $10.00 , $7.00 ," $11,186.00 ", $894.88 ," $10,291.12 "," $7,990.00 "," $2,301.12 ",01-08-2014,8, August ,2014,$10376,$4376,$12376
Government,Germany, Paseo , Medium ,2409, $10.00 , $7.00 ," $16,863.00 "," $1,349.04 "," $15,513.96 "," $12,045.00 "," $3,468.96 ",01-09-2013,9, September ,2013,$10377,$4377,$12377
Government,Germany, Paseo , Medium ,1934, $10.00 , $20.00 ," $38,680.00 "," $3,094.40 "," $35,585.60 "," $19,340.00 "," $16,245.60 ",01-09-2014,9, September ,2014,$10378,$4378,$12378
Government,Mexico, Paseo , Medium ,2993, $10.00 , $20.00 ," $59,860.00 "," $4,788.80 "," $55,071.20 "," $29,930.00 "," $25,141.20 ",01-09-2014,9, September ,2014,$10379,$4379,$12379
Government,Germany, Paseo , Medium ,2146, $10.00 , $350.00 ," $7,51,100.00 "," $60,088.00 "," $6,91,012.00 "," $5,57,960.00 "," $1,33,052.00 ",01-11-2013,11, November ,2013,$10380,$4380,$12380
Government,Mexico, Paseo , Medium ,1946, $10.00 , $7.00 ," $13,622.00 "," $1,089.76 "," $12,532.24 "," $9,730.00 "," $2,802.24 ",01-12-2013,12, December ,2013,$10381,$4381,$12381
Government,Mexico, Paseo , Medium ,1362, $10.00 , $350.00 ," $4,76,700.00 "," $38,136.00 "," $4,38,564.00 "," $3,54,120.00 "," $84,444.00 ",01-12-2014,12, December ,2014,$10382,$4382,$12382
Channel Partners,Canada, Velo , Medium ,598, $120.00 , $12.00 ," $7,176.00 ", $574.08 ," $6,601.92 "," $1,794.00 "," $4,807.92 ",01-03-2014,3, March ,2014,$10383,$4383,$12383
Government,United States of America, Velo , Medium ,2907, $120.00 , $7.00 ," $20,349.00 "," $1,627.92 "," $18,721.08 "," $14,535.00 "," $4,186.08 ",01-06-2014,6, June ,2014,$10384,$4384,$12384
Government,Germany, Velo , Medium ,2338, $120.00 , $7.00 ," $16,366.00 "," $1,309.28 "," $15,056.72 "," $11,690.00 "," $3,366.72 ",01-06-2014,6, June ,2014,$10385,$4385,$12385
Small Business,France, Velo , Medium ,386, $120.00 , $300.00 ," $1,15,800.00 "," $9,264.00 "," $1,06,536.00 "," $96,500.00 "," $10,036.00 ",01-11-2013,11, November ,2013,$10386,$4386,$12386
Small Business,Mexico, Velo , Medium ,635, $120.00 , $300.00 ," $1,90,500.00 "," $15,240.00 "," $1,75,260.00 "," $1,58,750.00 "," $16,510.00 ",01-12-2014,12, December ,2014,$10387,$4387,$12387
Government,France, VTT , Medium ,574.5, $250.00 , $350.00 ," $2,01,075.00 "," $16,086.00 "," $1,84,989.00 "," $1,49,370.00 "," $35,619.00 ",01-04-2014,4, April ,2014,$10388,$4388,$12388
Government,Germany, VTT , Medium ,2338, $250.00 , $7.00 ," $16,366.00 "," $1,309.28 "," $15,056.72 "," $11,690.00 "," $3,366.72 ",01-06-2014,6, June ,2014,$10389,$4389,$12389
Government,France, VTT , Medium ,381, $250.00 , $350.00 ," $1,33,350.00 "," $10,668.00 "," $1,22,682.00 "," $99,060.00 "," $23,622.00 ",01-08-2014,8, August ,2014,$10390,$4390,$12390
Government,Germany, VTT , Medium ,422, $250.00 , $350.00 ," $1,47,700.00 "," $11,816.00 "," $1,35,884.00 "," $1,09,720.00 "," $26,164.00 ",01-08-2014,8, August ,2014,$10391,$4391,$12391
Small Business,Canada, VTT , Medium ,2134, $250.00 , $300.00 ," $6,40,200.00 "," $51,216.00 "," $5,88,984.00 "," $5,33,500.00 "," $55,484.00 ",01-09-2014,9, September ,2014,$10392,$4392,$12392
Small Business,United States of America, VTT , Medium ,808, $250.00 , $300.00 ," $2,42,400.00 "," $19,392.00 "," $2,23,008.00 "," $2,02,000.00 "," $21,008.00 ",01-12-2013,12, December ,2013,$10393,$4393,$12393
Government,Canada, Amarilla , Medium ,708, $260.00 , $20.00 ," $14,160.00 "," $1,132.80 "," $13,027.20 "," $7,080.00 "," $5,947.20 ",01-06-2014,6, June ,2014,$10394,$4394,$12394
Government,United States of America, Amarilla , Medium ,2907, $260.00 , $7.00 ," $20,349.00 "," $1,627.92 "," $18,721.08 "," $14,535.00 "," $4,186.08 ",01-06-2014,6, June ,2014,$10395,$4395,$12395
Government,Germany, Amarilla , Medium ,1366, $260.00 , $20.00 ," $27,320.00 "," $2,185.60 "," $25,134.40 "," $13,660.00 "," $11,474.40 ",01-06-2014,6, June ,2014,$10396,$4396,$12396
Small Business,Mexico, Amarilla , Medium ,2460, $260.00 , $300.00 ," $7,38,000.00 "," $59,040.00 "," $6,78,960.00 "," $6,15,000.00 "," $63,960.00 ",01-06-2014,6, June ,2014,$10397,$4397,$12397
Government,Germany, Amarilla , Medium ,1520, $260.00 , $20.00 ," $30,400.00 "," $2,432.00 "," $27,968.00 "," $15,200.00 "," $12,768.00 ",01-11-2014,11, November ,2014,$10398,$4398,$12398
Midmarket,Germany, Amarilla , Medium ,711, $260.00 , $15.00 ," $10,665.00 ", $853.20 ," $9,811.80 "," $7,110.00 "," $2,701.80 ",01-12-2014,12, December ,2014,$10399,$4399,$12399
Channel Partners,Mexico, Amarilla , Medium ,1375, $260.00 , $12.00 ," $16,500.00 "," $1,320.00 "," $15,180.00 "," $4,125.00 "," $11,055.00 ",01-12-2013,12, December ,2013,$10400,$4400,$12400
Small Business,Mexico, Amarilla , Medium ,635, $260.00 , $300.00 ," $1,90,500.00 "," $15,240.00 "," $1,75,260.00 "," $1,58,750.00 "," $16,510.00 ",01-12-2014,12, December ,2014,$10401,$4401,$12401
Government,United States of America, VTT , Medium ,436.5, $250.00 , $20.00 ," $8,730.00 ", $698.40 ," $8,031.60 "," $4,365.00 "," $3,666.60 ",01-07-2014,7, July ,2014,$10402,$4402,$12402
Small Business,Canada, Carretera , Medium ,1094, $3.00 , $300.00 ," $3,28,200.00 "," $29,538.00 "," $2,98,662.00 "," $2,73,500.00 "," $25,162.00 ",01-06-2014,6, June ,2014,$10403,$4403,$12403
Channel Partners,Mexico, Carretera , Medium ,367, $3.00 , $12.00 ," $4,404.00 ", $396.36 ," $4,007.64 "," $1,101.00 "," $2,906.64 ",01-10-2013,10, October ,2013,$10404,$4404,$12404
Small Business,Canada, Montana , Medium ,3802.5, $5.00 , $300.00 ," $11,40,750.00 "," $1,02,667.50 "," $10,38,082.50 "," $9,50,625.00 "," $87,457.50 ",01-04-2014,4, April ,2014,$10405,$4405,$12405
Government,France, Montana , Medium ,1666, $5.00 , $350.00 ," $5,83,100.00 "," $52,479.00 "," $5,30,621.00 "," $4,33,160.00 "," $97,461.00 ",01-05-2014,5, May ,2014,$10406,$4406,$12406
Small Business,France, Montana , Medium ,322, $5.00 , $300.00 ," $96,600.00 "," $8,694.00 "," $87,906.00 "," $80,500.00 "," $7,406.00 ",01-09-2013,9, September ,2013,$10407,$4407,$12407
Channel Partners,Canada, Montana , Medium ,2321, $5.00 , $12.00 ," $27,852.00 "," $2,506.68 "," $25,345.32 "," $6,963.00 "," $18,382.32 ",01-11-2014,11, November ,2014,$10408,$4408,$12408
Enterprise,France, Montana , Medium ,1857, $5.00 , $125.00 ," $2,32,125.00 "," $20,891.25 "," $2,11,233.75 "," $2,22,840.00 "," $(11,606.25)",01-11-2013,11, November ,2013,$10409,$4409,$12409
Government,Canada, Montana , Medium ,1611, $5.00 , $7.00 ," $11,277.00 "," $1,014.93 "," $10,262.07 "," $8,055.00 "," $2,207.07 ",01-12-2013,12, December ,2013,$10410,$4410,$12410
Enterprise,United States of America, Montana , Medium ,2797, $5.00 , $125.00 ," $3,49,625.00 "," $31,466.25 "," $3,18,158.75 "," $3,35,640.00 "," $(17,481.25)",01-12-2014,12, December ,2014,$10411,$4411,$12411
Small Business,Germany, Montana , Medium ,334, $5.00 , $300.00 ," $1,00,200.00 "," $9,018.00 "," $91,182.00 "," $83,500.00 "," $7,682.00 ",01-12-2013,12, December ,2013,$10412,$4412,$12412
Small Business,Mexico, Paseo , Medium ,2565, $10.00 , $300.00 ," $7,69,500.00 "," $69,255.00 "," $7,00,245.00 "," $6,41,250.00 "," $58,995.00 ",01-01-2014,1, January ,2014,$10413,$4413,$12413
Government,Mexico, Paseo , Medium ,2417, $10.00 , $350.00 ," $8,45,950.00 "," $76,135.50 "," $7,69,814.50 "," $6,28,420.00 "," $1,41,394.50 ",01-01-2014,1, January ,2014,$10414,$4414,$12414
Midmarket,United States of America, Paseo , Medium ,3675, $10.00 , $15.00 ," $55,125.00 "," $4,961.25 "," $50,163.75 "," $36,750.00 "," $13,413.75 ",01-04-2014,4, April ,2014,$10415,$4415,$12415
Small Business,Canada, Paseo , Medium ,1094, $10.00 , $300.00 ," $3,28,200.00 "," $29,538.00 "," $2,98,662.00 "," $2,73,500.00 "," $25,162.00 ",01-06-2014,6, June ,2014,$10416,$4416,$12416
Midmarket,France, Paseo , Medium ,1227, $10.00 , $15.00 ," $18,405.00 "," $1,656.45 "," $16,748.55 "," $12,270.00 "," $4,478.55 ",01-10-2014,10, October ,2014,$10417,$4417,$12417
Channel Partners,Mexico, Paseo , Medium ,367, $10.00 , $12.00 ," $4,404.00 ", $396.36 ," $4,007.64 "," $1,101.00 "," $2,906.64 ",01-10-2013,10, October ,2013,$10418,$4418,$12418
Small Business,France, Paseo , Medium ,1324, $10.00 , $300.00 ," $3,97,200.00 "," $35,748.00 "," $3,61,452.00 "," $3,31,000.00 "," $30,452.00 ",01-11-2014,11, November ,2014,$10419,$4419,$12419
Channel Partners,Germany, Paseo , Medium ,1775, $10.00 , $12.00 ," $21,300.00 "," $1,917.00 "," $19,383.00 "," $5,325.00 "," $14,058.00 ",01-11-2013,11, November ,2013,$10420,$4420,$12420
Enterprise,United States of America, Paseo , Medium ,2797, $10.00 , $125.00 ," $3,49,625.00 "," $31,466.25 "," $3,18,158.75 "," $3,35,640.00 "," $(17,481.25)",01-12-2014,12, December ,2014,$10421,$4421,$12421
Midmarket,Mexico, Velo , Medium ,245, $120.00 , $15.00 ," $3,675.00 ", $330.75 ," $3,344.25 "," $2,450.00 ", $894.25 ,01-05-2014,5, May ,2014,$10422,$4422,$12422
Small Business,Canada, Velo , Medium ,3793.5, $120.00 , $300.00 ," $11,38,050.00 "," $1,02,424.50 "," $10,35,625.50 "," $9,48,375.00 "," $87,250.50 ",01-07-2014,7, July ,2014,$10423,$4423,$12423
Government,Germany, Velo , Medium ,1307, $120.00 , $350.00 ," $4,57,450.00 "," $41,170.50 "," $4,16,279.50 "," $3,39,820.00 "," $76,459.50 ",01-07-2014,7, July ,2014,$10424,$4424,$12424
Enterprise,Canada, Velo , Medium ,567, $120.00 , $125.00 ," $70,875.00 "," $6,378.75 "," $64,496.25 "," $68,040.00 "," $(3,543.75)",01-09-2014,9, September ,2014,$10425,$4425,$12425
Enterprise,Mexico, Velo , Medium ,2110, $120.00 , $125.00 ," $2,63,750.00 "," $23,737.50 "," $2,40,012.50 "," $2,53,200.00 "," $(13,187.50)",01-09-2014,9, September ,2014,$10426,$4426,$12426
Government,Canada, Velo , Medium ,1269, $120.00 , $350.00 ," $4,44,150.00 "," $39,973.50 "," $4,04,176.50 "," $3,29,940.00 "," $74,236.50 ",01-10-2014,10, October ,2014,$10427,$4427,$12427
Channel Partners,United States of America, VTT , Medium ,1956, $250.00 , $12.00 ," $23,472.00 "," $2,112.48 "," $21,359.52 "," $5,868.00 "," $15,491.52 ",01-01-2014,1, January ,2014,$10428,$4428,$12428
Small Business,Germany, VTT , Medium ,2659, $250.00 , $300.00 ," $7,97,700.00 "," $71,793.00 "," $7,25,907.00 "," $6,64,750.00 "," $61,157.00 ",01-02-2014,2, February ,2014,$10429,$4429,$12429
Government,United States of America, VTT , Medium ,1351.5, $250.00 , $350.00 ," $4,73,025.00 "," $42,572.25 "," $4,30,452.75 "," $3,51,390.00 "," $79,062.75 ",01-04-2014,4, April ,2014,$10430,$4430,$12430
Channel Partners,Germany, VTT , Medium ,880, $250.00 , $12.00 ," $10,560.00 ", $950.40 ," $9,609.60 "," $2,640.00 "," $6,969.60 ",01-05-2014,5, May ,2014,$10431,$4431,$12431
Small Business,United States of America, VTT , Medium ,1867, $250.00 , $300.00 ," $5,60,100.00 "," $50,409.00 "," $5,09,691.00 "," $4,66,750.00 "," $42,941.00 ",01-09-2014,9, September ,2014,$10432,$4432,$12432
Channel Partners,France, VTT , Medium ,2234, $250.00 , $12.00 ," $26,808.00 "," $2,412.72 "," $24,395.28 "," $6,702.00 "," $17,693.28 ",01-09-2013,9, September ,2013,$10433,$4433,$12433
Midmarket,France, VTT , Medium ,1227, $250.00 , $15.00 ," $18,405.00 "," $1,656.45 "," $16,748.55 "," $12,270.00 "," $4,478.55 ",01-10-2014,10, October ,2014,$10434,$4434,$12434
Enterprise,Mexico, VTT , Medium ,877, $250.00 , $125.00 ," $1,09,625.00 "," $9,866.25 "," $99,758.75 "," $1,05,240.00 "," $(5,481.25)",01-11-2014,11, November ,2014,$10435,$4435,$12435
Government,United States of America, Amarilla , Medium ,2071, $260.00 , $350.00 ," $7,24,850.00 "," $65,236.50 "," $6,59,613.50 "," $5,38,460.00 "," $1,21,153.50 ",01-09-2014,9, September ,2014,$10436,$4436,$12436
Government,Canada, Amarilla , Medium ,1269, $260.00 , $350.00 ," $4,44,150.00 "," $39,973.50 "," $4,04,176.50 "," $3,29,940.00 "," $74,236.50 ",01-10-2014,10, October ,2014,$10437,$4437,$12437
Midmarket,Germany, Amarilla , Medium ,970, $260.00 , $15.00 ," $14,550.00 "," $1,309.50 "," $13,240.50 "," $9,700.00 "," $3,540.50 ",01-11-2013,11, November ,2013,$10438,$4438,$12438
Government,Mexico, Amarilla , Medium ,1694, $260.00 , $20.00 ," $33,880.00 "," $3,049.20 "," $30,830.80 "," $16,940.00 "," $13,890.80 ",01-11-2014,11, November ,2014,$10439,$4439,$12439
Government,Germany, Carretera , Medium ,663, $3.00 , $20.00 ," $13,260.00 "," $1,193.40 "," $12,066.60 "," $6,630.00 "," $5,436.60 ",01-05-2014,5, May ,2014,$10440,$4440,$12440
Government,Canada, Carretera , Medium ,819, $3.00 , $7.00 ," $5,733.00 ", $515.97 ," $5,217.03 "," $4,095.00 "," $1,122.03 ",01-07-2014,7, July ,2014,$10441,$4441,$12441
Channel Partners,Germany, Carretera , Medium ,1580, $3.00 , $12.00 ," $18,960.00 "," $1,706.40 "," $17,253.60 "," $4,740.00 "," $12,513.60 ",01-09-2014,9, September ,2014,$10442,$4442,$12442
Government,Mexico, Carretera , Medium ,521, $3.00 , $7.00 ," $3,647.00 ", $328.23 ," $3,318.77 "," $2,605.00 ", $713.77 ,01-12-2014,12, December ,2014,$10443,$4443,$12443
Government,United States of America, Paseo , Medium ,973, $10.00 , $20.00 ," $19,460.00 "," $1,751.40 "," $17,708.60 "," $9,730.00 "," $7,978.60 ",01-03-2014,3, March ,2014,$10444,$4444,$12444
Government,Mexico, Paseo , Medium ,1038, $10.00 , $20.00 ," $20,760.00 "," $1,868.40 "," $18,891.60 "," $10,380.00 "," $8,511.60 ",01-06-2014,6, June ,2014,$10445,$4445,$12445
Government,Germany, Paseo , Medium ,360, $10.00 , $7.00 ," $2,520.00 ", $226.80 ," $2,293.20 "," $1,800.00 ", $493.20 ,01-10-2014,10, October ,2014,$10446,$4446,$12446
Channel Partners,France, Velo , Medium ,1967, $120.00 , $12.00 ," $23,604.00 "," $2,124.36 "," $21,479.64 "," $5,901.00 "," $15,578.64 ",01-03-2014,3, March ,2014,$10447,$4447,$12447
Midmarket,Mexico, Velo , Medium ,2628, $120.00 , $15.00 ," $39,420.00 "," $3,547.80 "," $35,872.20 "," $26,280.00 "," $9,592.20 ",01-04-2014,4, April ,2014,$10448,$4448,$12448
Government,Germany, VTT , Medium ,360, $250.00 , $7.00 ," $2,520.00 ", $226.80 ," $2,293.20 "," $1,800.00 ", $493.20 ,01-10-2014,10, October ,2014,$10449,$4449,$12449
Government,France, VTT , Medium ,2682, $250.00 , $20.00 ," $53,640.00 "," $4,827.60 "," $48,812.40 "," $26,820.00 "," $21,992.40 ",01-11-2013,11, November ,2013,$10450,$4450,$12450
Government,Mexico, VTT , Medium ,521, $250.00 , $7.00 ," $3,647.00 ", $328.23 ," $3,318.77 "," $2,605.00 ", $713.77 ,01-12-2014,12, December ,2014,$10451,$4451,$12451
Government,Mexico, Amarilla , Medium ,1038, $260.00 , $20.00 ," $20,760.00 "," $1,868.40 "," $18,891.60 "," $10,380.00 "," $8,511.60 ",01-06-2014,6, June ,2014,$10452,$4452,$12452
Midmarket,Canada, Amarilla , Medium ,1630.5, $260.00 , $15.00 ," $24,457.50 "," $2,201.18 "," $22,256.33 "," $16,305.00 "," $5,951.33 ",01-07-2014,7, July ,2014,$10453,$4453,$12453
Channel Partners,France, Amarilla , Medium ,306, $260.00 , $12.00 ," $3,672.00 ", $330.48 ," $3,341.52 ", $918.00 ," $2,423.52 ",01-12-2013,12, December ,2013,$10454,$4454,$12454
Channel Partners,United States of America, Carretera , High ,386, $3.00 , $12.00 ," $4,632.00 ", $463.20 ," $4,168.80 "," $1,158.00 "," $3,010.80 ",01-10-2013,10, October ,2013,$10455,$4455,$12455
Government,United States of America, Montana , High ,2328, $5.00 , $7.00 ," $16,296.00 "," $1,629.60 "," $14,666.40 "," $11,640.00 "," $3,026.40 ",01-09-2014,9, September ,2014,$10456,$4456,$12456
Channel Partners,United States of America, Paseo , High ,386, $10.00 , $12.00 ," $4,632.00 ", $463.20 ," $4,168.80 "," $1,158.00 "," $3,010.80 ",01-10-2013,10, October ,2013,$10457,$4457,$12457
Enterprise,United States of America, Carretera , High ,3445.5, $3.00 , $125.00 ," $4,30,687.50 "," $43,068.75 "," $3,87,618.75 "," $4,13,460.00 "," $(25,841.25)",01-04-2014,4, April ,2014,$10458,$4458,$12458
Enterprise,France, Carretera , High ,1482, $3.00 , $125.00 ," $1,85,250.00 "," $18,525.00 "," $1,66,725.00 "," $1,77,840.00 "," $(11,115.00)",01-12-2013,12, December ,2013,$10459,$4459,$12459
Government,United States of America, Montana , High ,2313, $5.00 , $350.00 ," $8,09,550.00 "," $80,955.00 "," $7,28,595.00 "," $6,01,380.00 "," $1,27,215.00 ",01-05-2014,5, May ,2014,$10460,$4460,$12460
Enterprise,United States of America, Montana , High ,1804, $5.00 , $125.00 ," $2,25,500.00 "," $22,550.00 "," $2,02,950.00 "," $2,16,480.00 "," $(13,530.00)",01-11-2013,11, November ,2013,$10461,$4461,$12461
Midmarket,France, Montana , High ,2072, $5.00 , $15.00 ," $31,080.00 "," $3,108.00 "," $27,972.00 "," $20,720.00 "," $7,252.00 ",01-12-2014,12, December ,2014,$10462,$4462,$12462
Government,France, Paseo , High ,1954, $10.00 , $20.00 ," $39,080.00 "," $3,908.00 "," $35,172.00 "," $19,540.00 "," $15,632.00 ",01-03-2014,3, March ,2014,$10463,$4463,$12463
Small Business,Mexico, Paseo , High ,591, $10.00 , $300.00 ," $1,77,300.00 "," $17,730.00 "," $1,59,570.00 "," $1,47,750.00 "," $11,820.00 ",01-05-2014,5, May ,2014,$10464,$4464,$12464
Midmarket,France, Paseo , High ,2167, $10.00 , $15.00 ," $32,505.00 "," $3,250.50 "," $29,254.50 "," $21,670.00 "," $7,584.50 ",01-10-2013,10, October ,2013,$10465,$4465,$12465
Government,Germany, Paseo , High ,241, $10.00 , $20.00 ," $4,820.00 ", $482.00 ," $4,338.00 "," $2,410.00 "," $1,928.00 ",01-10-2014,10, October ,2014,$10466,$4466,$12466
Midmarket,Germany, Velo , High ,681, $120.00 , $15.00 ," $10,215.00 "," $1,021.50 "," $9,193.50 "," $6,810.00 "," $2,383.50 ",01-01-2014,1, January ,2014,$10467,$4467,$12467
Midmarket,Germany, Velo , High ,510, $120.00 , $15.00 ," $7,650.00 ", $765.00 ," $6,885.00 "," $5,100.00 "," $1,785.00 ",01-04-2014,4, April ,2014,$10468,$4468,$12468
Midmarket,United States of America, Velo , High ,790, $120.00 , $15.00 ," $11,850.00 "," $1,185.00 "," $10,665.00 "," $7,900.00 "," $2,765.00 ",01-05-2014,5, May ,2014,$10469,$4469,$12469
Government,France, Velo , High ,639, $120.00 , $350.00 ," $2,23,650.00 "," $22,365.00 "," $2,01,285.00 "," $1,66,140.00 "," $35,145.00 ",01-07-2014,7, July ,2014,$10470,$4470,$12470
Enterprise,United States of America, Velo , High ,1596, $120.00 , $125.00 ," $1,99,500.00 "," $19,950.00 "," $1,79,550.00 "," $1,91,520.00 "," $(11,970.00)",01-09-2014,9, September ,2014,$10471,$4471,$12471
Small Business,United States of America, Velo , High ,2294, $120.00 , $300.00 ," $6,88,200.00 "," $68,820.00 "," $6,19,380.00 "," $5,73,500.00 "," $45,880.00 ",01-10-2013,10, October ,2013,$10472,$4472,$12472
Government,Germany, Velo , High ,241, $120.00 , $20.00 ," $4,820.00 ", $482.00 ," $4,338.00 "," $2,410.00 "," $1,928.00 ",01-10-2014,10, October ,2014,$10473,$4473,$12473
Government,Germany, Velo , High ,2665, $120.00 , $7.00 ," $18,655.00 "," $1,865.50 "," $16,789.50 "," $13,325.00 "," $3,464.50 ",01-11-2014,11, November ,2014,$10474,$4474,$12474
Enterprise,Canada, Velo , High ,1916, $120.00 , $125.00 ," $2,39,500.00 "," $23,950.00 "," $2,15,550.00 "," $2,29,920.00 "," $(14,370.00)",01-12-2013,12, December ,2013,$10475,$4475,$12475
